Key	EN	RU	DE	FR	IT	PT	ES	JA	ID	MS	AR
boy.page.5	{NAME:P1} sighed. It was a very big tree trunk,\nand the task seemed to require a lot of hard work.	{NAME:P1} вздохнул. Ствол был очень толстый,\nи работы, казалось, было выше головы.	{NAME:P1} seufzte. Es war es riesiger Baumstamm,\nund die Aufgabe sah nach viel Arbeit aus.	{NAME:P1} soupira. C’était un énorme tronc d’arbre,\net cette tâche nécessitait sûrement beaucoup de travail.	{NAME:P1} sospirò: il tronco che il papà\nstava rosicchiando era molto grande, e quel lavoro sembrava faticoso.	{NAME:P1} respirou fundo. Era um tronco\nde árvore muito grande e o trabalho parecia exigir muito esforço.	{NAME:P1} suspiró. Era un tronco muy grande\ny le pareció que la tarea iba a requerir mucho trabajo.	{NAME:P1}​は、​ため息⁠を​つき⁠まし⁠た。​とても\n太く⁠て​大きな⁠木⁠で、​たいへん⁠そう⁠です。	{NAME:P1} mendesah. Batang pohonnya sangat besar,\ndan tugas itu sepertinya membutuhkan banyak kerja keras.	{NAME:P1} mengeluh. Batang pokok itu sangat besar,\ndan kerja itu nampaknya memerlukan banyak tenaga.	تنهّد {NAME:P1}، فقد كان جذع الشجرة ضخمًا، وكانت المهمّة تبدو شاقّة للغاية.
boy.page.6	“No thanks,” he said. “I can build a better home in half the time.”	«Нет, ‒ ответил он. ‒ Я могу построить дом получше,\nпотратив вдвое меньше времени».	„Nein, danke“, sagte er. „Ich kann in der Hälfte\nder Zeit ein besseres Haus bauen.“	« Non merci, dit-il. Je peux nous construire\nune meilleure maison en moins de temps que ça. »	«No, papà, grazie», rispose. «Costruirò\nuna casa migliore in molto meno tempo».	“Não, obrigado”, ele respondeu. “Eu consigo construir\numa casa melhor na metade do tempo.”	“No, gracias”, contestó. “Puedo construir\nuna casa mejor en la mitad de tiempo”.	「ごめん、​手伝え⁠ない⁠よ」​{NAME:P1}​は​言い⁠まし⁠た。\n「僕⁠なら、​この⁠半分⁠の​時間⁠で、​もっと⁠いい​お家⁠を​作れる⁠よ」	“Tidak, terima kasih,” katanya. “Saya bisa membangun rumah\nyang lebih baik dalam waktu setengahnya.”	“Tidak, terima kasih,” dia berkata. “Saya boleh membina rumah\nyang lebih baik lagi hanya dalam separuh masa daripada ini.”	فقال: ”لا شكرًا. يمكنني بناء منزلٍ أفضل في نصف الوقت“.
boy.page.7	His father shrugged…	Его отец пожал плечами…	Sein Vater zuckte mit den Achseln…	Son père haussa les épaules…	Il papà alzò le spalle,	Seu pai deu de ombros…	Su padre se encogió de hombros…	お父さん⁠は​肩⁠を​すくめ⁠て…	Ayahnya mengangkat bahu…	Ayahnya mengangkat bahu…	هزّ والده كتفيه…
boy.page.8	…and went back to work.	…и продолжил свою работу.	…und machte sich wieder an die Arbeit.	…et se remit au travail.	E si rimise al lavoro.	…e voltou ao trabalho.	…y siguió trabajando.	仕事⁠に​もどり⁠まし⁠た。	…dan kembali bekerja.	…dan kembali menyambung kerja.	…وعاد للعمل.
boy.page.9	{NAME:P1} looked around the forest, wondering where he should live.	Бобрёнок {NAME:P1} обошёл весь лес кругом\nв поисках места, где ему хотелось бы жить.	{NAME:P1} sah sich im Wald um und fragte sich, wo er leben sollte.	{NAME:P1} observa la forêt en se demandant où il allait vivre.	{NAME:P1} entrò nella foresta e si diede un’occhiata intorno,\nchiedendosi dove sarebbe andato ad abitare.	{NAME:P1} olhou ao redor da floresta,\npensando onde ele deveria morar.	{NAME:P1} contempló el bosque preguntándose dónde podría vivir.	{NAME:P1}​は​森⁠を​見​まわし、\n​どこ⁠に​住も⁠う⁠か⁠と​考え⁠て​い⁠まし⁠た。	{NAME:P1} melihat-lihat di sekitar hutan itu,\ningin tahu di mana sebaiknya dia tinggal.	{NAME:P1} melihat sekeliling hutan, tertanya-tanya di mana dia patut tinggal.	راح {NAME:P1} يتفحّص الغابة حوله ويتساءل أين يمكن أن يعيش.
boy.page.10	It wasn’t long before he spotted some sparrows in an oak tree.\nTheir nest looked like the perfect home.	Вскоре он заметил нескольких воробьёв, расположившихся\nна старом дубе. Их гнездо выглядело, как самый лучший дом.	Nach kurzer Zeit entdeckte er einige Spatzen in einer Eiche.\nIhr Nest sah wie das perfekte Zuhause aus.	Peu de temps après, il aperçut des moineaux sur un chêne.\nLeur nid avait l’air d’être la maison parfaite.	Poco dopo, notò degli uccellini su una quercia.\nIl loro nido era una casa perfetta!	Não demorou muito até ele avistar alguns pardais em uma árvore.\nO ninho deles parecia o lar perfeito.	No pasó mucho tiempo hasta que vio unos gorriones en un roble.\nSu nido parecía el hogar perfecto.	やがて​{NAME:P1}​は、​カシ⁠の​木⁠に​とまっ⁠て​いる​スズメ⁠を\n見つけ⁠まし⁠た。​スズメ⁠の​巣⁠は、​カンペキ⁠な​家⁠の​よう⁠に​見え⁠ます。	Tidak lama kemudian, dia melihat beberapa ekor burung pipit di pohon oak.\nSarang mereka tampak seperti rumah yang sempurna.	Tidak lama kemudian dia ternampak beberapa ekor burung pipit di celah\ndahan pohon ok. Sarang mereka kelihatan seperti rumah yang sempurna.	لم يمضِ وقت طويل حتى لاحظ بعض العصافير في\nشجرة البلّوط. بدا عشّ العصافير بيتًا مثاليًا.
boy.page.11	Excited, he climbed to the top of the tree.	Сгорая от нетерпения, он взобрался на верхушку дерева.	Aufgeregt kletterte er bis zum Wipfel des Baumes.	Plein d’enthousiasme, il grimpa au sommet de l’arbre.	Tutto contento, {NAME:P1} si arrampicò in cima all’albero.	Animado, ele subiu no topo da árvore.	Entusiasmado, trepó a la copa del árbol.	ワクワク⁠し⁠ながら​木⁠の​上⁠に​のぼり⁠まし⁠た。	Karena tertarik, dia naik ke puncak pohon.	Dengan teruja, dia memanjat hingga ke puncak pohon.	تحمّس القندس وبدأ يتسلّق إلى قمة الشجرة.
boy.page.12	Gathering twigs and leaves,\n{NAME:P1} made himself a nest on the highest branch.	Собрав веточки и листья, {NAME:P1}\nустроил себе гнездо на самой высокой ветке.	Indem er Zweige und Blätter sammelte,\nbaute sich {NAME:P1} ein eigenes Nest auf dem höchsten Ast.	Après avoir rassemblé des branches et des feuilles,\n{NAME:P1} se construisit un nid sur la plus haute branche.	Poi raccolse delle foglie e dei rametti, e si fece un nido sul ramo più alto.	Com galhos e folhas, {NAME:P1} fez um ninho no galho mais alto.	{NAME:P1} recogió hojas y pequeñas ramas,\ny construyó un nido en la rama más alta.	そして、​小⁠枝⁠や​葉っぱ⁠を​集め⁠て、\n​一番​高い​枝⁠の​上⁠に​家⁠を​作り⁠まし⁠た。	Dengan mengumpulkan ranting dan dedaunan,\n{NAME:P1} membuat sarang di dahan yang paling tinggi.	{NAME:P1} membuat sebuah sarang di dahan tertinggi\nuntuk dirinya dengan mengumpulkan ranting dan daun.	جمع {NAME:P1} بعض الأغصان والأوراق،\nوصنع لنفسه عُشًّا على أعلى غصن في الشجرة.
boy.page.13	Yet, when he climbed inside and looked down below, he felt a little uneasy.	Но, забравшись внутрь и взглянув вниз, ему стало не по себе.	Doch als er hineinkletterte und nach unten blickte, war ihm mulmig zumute.	Mais quand il s’installa et regarda en bas, il se sentit mal à l’aise.	Quando però vi entrò dentro e guardò in basso, si sentì un po’ a disagio.	Mas quando ele entrou no ninho e olhou para baixo,\nele ficou um pouco preocupado.	Sin embargo, cuando se instaló en el nido\ny miró hacia abajo se sintió un poco incómodo.	しかし、​その⁠家⁠の​中⁠に​入っ⁠て​下⁠を​見る⁠と、\n少し⁠不安⁠な​気持ち⁠に​なり⁠まし⁠た。	Namun, ketika dia masuk ke dalamnya,\nlalu memandang ke bawah, dia merasa agak gelisah.	Namun, apabila dia memanjat naik ke dalam sarang\ndan melihat ke bawah, dia berasa kurang selesa.	لكن عندما جلس بداخله ونظر للأسفل، شعر بشيء من القلق.
boy.page.14	It was awfully high, and he was so far from the river.\nMaybe this wasn’t the perfect home after all.	Верхотура была ужасная, и он был так далеко от реки.\nНаверное, всё-таки это не был самый лучший дом для него.	Es war schrecklich hoch, und er war so weit weg vom Fluss.\nVielleicht war dies ja doch nicht der beste Unterschlupf.	Il était tellement haut, et bien trop loin de la rivière.\nCe n’était peut-être pas la maison parfaite après tout.	Quanto era in alto! E com’era lontano il fiume!\nForse, dopotutto, quella non era proprio la casa adatta a lui.	O ninho era incrivelmente alto e ficava longe demais do rio.\nNo final das contas, talvez essa não fosse a casa perfeita.	Era terriblemente alto y estaba muy lejos del río.\nQuizás, después de todo, ese no era el hogar perfecto.	とても⁠高い⁠し、​川⁠から⁠も​はなれ⁠て​い⁠ます。\nこの⁠家⁠は​カンペキ⁠な​家⁠で⁠は​ない​の⁠かも​しれ⁠ませ⁠ん。	Sarang itu sangat tinggi, dan dia jauh dari sungai.\nMungkin ini memang bukan rumah yang sempurna.	Pohon itu sangat tinggi, dan dia terlalu jauh dari sungai.\nMungkin sarang ini bukan rumah yang sempurna seperti tanggapannya.	كان ارتفاع العشّ شاهقًا، وكان بعيدًا جدًا عن النهر.\nبخلاف توقعاته، لم يكن هذا البيت المثاليّ.
boy.page.15	{NAME:P1} glanced down at the rabbits hopping in and out\nof their underground house. Their burrow looked like the perfect home.	{NAME:P1} увидел кроликов, бегающих туда-сюда возле своего\nподземного жилища. Их норка выглядела, как самый лучший дом.	{NAME:P1} schaute sich die Hasen unter ihm an, die rund um ihr\nErdloch hoppelten. Ihre Kaninchenhöhle sah nach dem idealen Wohnort aus.	{NAME:P1} observa des lapins qui bondissaient hors de leur\nmaison sous-terraine. Leur terrier avait l’air d’être la maison parfaite.	Poi vide dei coniglietti che entravano e uscivano saltando dalla\nloro tana sotterranea. Quella sì che sembrava una casa perfetta!	{NAME:P1} percebeu alguns coelhos pulando para dentro\ne para fora de uma casa subterrânea. A toca deles parecia a casa perfeita.	{NAME:P1} observó a los conejos saltando dentro\nde su casa subterránea. Su madriguera parecía el hogar perfecto.	{NAME:P1}​は、​土⁠の​中⁠の​巣⁠から​出⁠たり​入っ⁠たり​し⁠て​いる​ウサギ⁠たち⁠を\n見つけ⁠まし⁠た。​ウサギ⁠の​巣⁠は​カンペキ⁠な​家⁠の​よう⁠に​見え⁠ます。	{NAME:P1} memandangi sekawanan kelinci yang berlompatan keluar masuk\nrumah bawah tanah mereka. Lubang mereka tampak seperti rumah sempurna.	{NAME:P1} menoleh kepada arnab yang melompat masuk dan keluar dari rumah\ndi dalam tanah. Lubangnya kelihatan seperti rumah yang sempurna.	لمحَ {NAME:P1} الأرانب تقفز إلى داخل وخارج بيتها\nالمدفون تحت الأرض. بدا الجحر بيتًا مثاليًا.
boy.page.16	Digging a small hole in the mud,\n{NAME:P1} made his very own burrow.	Выкопав небольшую яму в земле,\n{NAME:P1} сделал свою собственную норку.	{NAME:P1} grub ein kleines Loch\nin den Schlamm und baute sich seine eigene Höhle.	En creusant un petit trou dans la boue,\n{NAME:P1} construisit son propre terrier.	{NAME:P1} scavò una buca nel terreno e creò una tana tutta per sé.	Cavando um pequeno buraco na terra,\n{NAME:P1} fez a sua própria toca.	Cavando un pequeño hoyo en el barro\n{NAME:P1} construyó su propia madriguera.	{NAME:P1}​は、​ドロ⁠の​中⁠に​小さな⁠穴⁠を​ほっ⁠て、\n自分⁠だけ⁠の​家⁠を​作り⁠まし⁠た。	Dengan menggali lubang kecil di lumpur,\n{NAME:P1} membuat lubangnya sendiri.	{NAME:P1} membuat lubangnya sendiri dengan mengorek ke dalam tanah.	حفر {NAME:P1} حفرةً في الطين، وصنع لنفسه جحرًا صغيرًا.
boy.page.17	Feeling pleased with himself, he climbed inside and observed his new home.	Довольный собой, он забрался внутрь и оглядел свой новый дом.	Zufrieden mit sich selbst kletterte er hinein\nund betrachtete sein neues Zuhause.	D’un air satisfait, il grimpa à l’intérieur et admira sa nouvelle maison.	Molto soddisfatto, si infilò dentro e osservò la sua nuova casa.	Sentindo-se orgulhoso e satisfeito com o seu trabalho,\nele entrou e observou a sua nova casa.	Se sentía satisfecho consigo mismo;\nse acomodó adentro y examinó su nuevo hogar.	{NAME:P1}​は、​うれしく​なり⁠まし⁠た。​そして、\n自分⁠の​新しい​家⁠の​中⁠に​入っ⁠て、​よく⁠見⁠て​み⁠まし⁠た。	Karena merasa senang, dia masuk\nke dalam dan mengamati rumah barunya itu.	Dengan rasa gembira atas usahanya,\ndia memanjat masuk ke dalam dan memerhatikan rumah baharunya.	شعر بالرضا عمّا أنجزه، فنزل ليرى منزله الجديد من الداخل.
boy.page.18	It was awfully dark, and he felt rather squished down there in the ground.\nMaybe this wasn’t the perfect home after all.	Там было ужасно темно, и он почувствовал себя подавленным в этой глухой\nноре под землёй. Наверное, всё-таки это не был самый лучший дом для него.	Es war furchtbar dunkel, und er fühlte sich so nah am Boden ganz erdrückt.\nVielleicht war ja auch dies nicht das perfekte Heim für ihn.	Il y faisait si noir, et il n’avait pas beaucoup de place sous la terre.\nCe n’était peut-être pas la maison parfaite après tout.	Quanto era buia! E come si sentiva stretto lì dentro!\nForse, dopotutto, quella non era proprio la casa adatta a lui.	O ambiente era escuro demais e ele se sentia um pouco apertado ali debaixo\nda terra. No final das contas, talvez essa não fosse a casa perfeita.	Era terriblemente oscuro y se sentía un poco estrujado allí abajo, en la tierra.\nQuizás, después de todo, ese no era el hogar perfecto.	地面⁠の​中⁠に​いる⁠と、​暗く⁠て、​きゅう​くつ⁠な​感じ⁠が​し⁠ます。\nこの⁠家⁠は​カンペキ⁠な​家⁠で⁠は​ない​の⁠かも​しれ⁠ませ⁠ん。	Keadaan di dalam sangat gelap, dan dia merasa agak sesak di dalam tanah.\nMungkin ini juga bukan rumah yang sempurna.	Keadaannya amat gelap, dan dia berasa agak terhimpit di bawah tanah.\nMungkin lubang ini bukan rumah yang sempurna seperti tanggapannya.	كان الظلام دامسًا، وشعر القندس بالضّيق تحت الأرض.\nبخلاف توقعاته، لم يكن هذا البيت المثاليّ.
boy.page.19	When {NAME:P1} peeked above ground, he saw a deer family resting\nnearby. Their spot amidst the tall grass looked like the perfect home.	{NAME:P1} выбрался на свет и заметил семейку оленей неподалёку.\nМесто, где они стояли в высокой траве, выглядело, как самый лучший дом.	Als {NAME:P1} hinaus blickte, sah er in der Nähe Rehe, die gerade\nrasteten. Ihr Platz im hohen Gras sah nach dem perfekten Wohnort aus.	{NAME:P1} sortit sa tête du terrier et vit une famille de cerfs.\nLes herbes hautes où ils se reposaient semblaient être la maison parfaite.	Tornato in superficie, {NAME:P1} vide una famiglia di cervi\nche si riposava nell’erba alta. Quella sì che sembrava una casa perfetta!	Quando {NAME:P1} foi espiar lá fora, ele viu uma família de veados descansando.\nO cantinho deles no meio da grama parecia a casa perfeita.	Cuando {NAME:P1} se asomó vio una familia de ciervos descansando\ncerca. El claro en medio de la hierba erguida parecía el hogar perfecto.	地上⁠に​出る⁠と、​シカ⁠の​家族⁠が​休ん⁠で​いる​の⁠が​見え⁠まし⁠た。\n背⁠の​高い​草⁠の​中⁠は、​まるで⁠カンペキ⁠な​家⁠の​よう⁠に​見え⁠ます。	Saat {NAME:P1} mengintip ke atas, dia melihat keluarga rusa sedang\nberistirahat. Tempat mereka di tengah rumput tinggi tampak sempurna.	Ketika {NAME:P1} menjenguk ke atas, dia nampak keluarga rusa berehat.\nKawasan yang berumput tinggi kelihatan seperti rumah yang sempurna.	عندما رفع {NAME:P1} رأسه من الحفرة، رأى عائلة من الغزلان تستريح بالجوار.\nبدا مكانهم بين العشب الطويل بيتًا مثاليًّا.
boy.page.20	Feeling sure this was a great plan, {NAME:P1} found\na comfortable spot in the grass and relaxed.	Уверенный в том, что это отличный план, {NAME:P1}\nнашёл уютное местечко в траве и сделал передышку.	Er war sich seiner Idee sicher, sodass {NAME:P1} sich einen\ngemütlichen Platz im Gras suchte und sich entspannte.	Convaincu de son nouveau projet, {NAME:P1} trouva\nun coin confortable dans les herbes pour se reposer.	Sicuro che fosse un’ottima idea, {NAME:P1} si trovò\nun bel posticino tra l’erba e si mise comodo.	Com a certeza de que esse era um ótimo plano,\n{NAME:P1} encontrou um cantinho confortável na cama e relaxou.	Seguro de que era una excelente idea, {NAME:P1} buscó\nun confortable claro en medio la hierba y se distendió.	{NAME:P1}​は、​これ⁠は​いい​考え⁠だ⁠と​思い⁠まし⁠た。\nそして、​草むら⁠の​中⁠で​くつろぐ​こと⁠に​し⁠まし⁠た。	Karena merasa yakin bahwa ini rencana yang bagus, {NAME:P1}\nmenemukan tempat yang nyaman di antara rerumputan dan bersantai.	Berasakan bahawa ini suatu rancangan hebat, {NAME:P1} menemukan tempat\nyang selesa dalam rumput dan duduk bersantai.	كان واثقًا من نجاح هذه الخطّة. اختار {NAME:P1} مكانًا لطيفًا في العشب واستراح.
boy.page.21	Suddenly, he heard a rustling sound nearby.\nSomething was coming towards him.	Вдруг, он услышал в траве какое-то шуршание.\nЧто-то быстро приближалось к нему.	Plötzlich hörte er in der Nähe ein Rascheln. Etwas kam auf ihn zu.	Soudain, il entendit un bruissement. Quelque chose se rapprochait de lui.	Improvvisamente, però, sentì un fruscìo.\nQualcosa o qualcuno si avvicinava sempre di più.	De repente, ele escutou um barulho de folhas se mexendo.\nAlguma coisa estava vindo em sua direção.	De repente sintió un crugido cerca. Algo se acercaba.	すると、​ガサガサ⁠という​音⁠が​聞こえ⁠て​き⁠まし⁠た。\n何⁠か⁠が​{NAME:P1}​に​近づい⁠て​き⁠まし⁠た。	Tiba-tiba, dia mendengar bunyi gemerisik di dekatnya.\nAda sesuatu yang sedang menghampirinya.	Tiba-tiba, dia terdengar bunyi berdesir berhampiran.\nAda sesuatu datang mendekatinya.	فجأةً، سمع صوت حفيفٍ قريب. هناك شيء ما يتّجه نحوه.
boy.page.22	{NAME:P1} looked up and saw a red tail moving in the wind.	{NAME:P1} поднял глаза вверх\nи увидел рыжий хвост, раскачивающийся на ветру.	{NAME:P1} blickte auf und bemerkte\neinen roten Schwanz, der sich im Wind bewegte.	{NAME:P1} leva les yeux\net vit une queue rouge vif qui dansait avec le vent.	{NAME:P1} guardò in su e vide\nuna coda arancione muoversi nel vento.	{NAME:P1} olhou para cima e viu um rabo vermelho se mexendo no ar.	{NAME:P1} miró hacia arriba y vio una cola roja flameando en el viento.	かお⁠を​上げ⁠て​探し⁠て​みる⁠と、​赤い​しっぽ⁠が​風⁠に​吹か⁠れ⁠て、\n動い⁠て​いる​の⁠が​見え⁠まし⁠た。	{NAME:P1} mendongak dan melihat ekor merah yang bergerak tertiup angin.	{NAME:P1} memandang ke atas dan melihat\nekor merah bergerak dihembus bayu.	نظر {NAME:P1} إلى الأعلى فرأى ذيلاً برتقاليًا يتلوّى في الهواء.
boy.page.23	Nervously, he peered over the grass\nand came face to face with a hungry red fox.	Он нервно выглянул из травы и встретился\nлицом к лицу с голодной рыжей лисицей.	Nervös spähte er über die Gräser und entdeckte einen hungrigen Fuchs.	Inquiet, il jeta un œil au dessus des herbes\net se retrouva nez à nez avec un renard orange affamé.	Scrutò nervosamente tra l’erba…\ne si trovò faccia a faccia con una volpe affamata.	Nervoso, ele espiou por cima da grama\ne ficou cara a cara com uma raposa faminta.	Nervioso, oteó sobre la hierba\ny se encontró cara a cara con un hambriento zorro rojo.	ドキドキ​し⁠ながら、​草むら⁠の​向こう⁠を​見る⁠と、\nお腹⁠を​すか⁠せ⁠た​オレンジ⁠色⁠の​キツネ⁠が​い⁠まし⁠た。	Dengan gugup, dia mengintai ke rerumputan\ndan berhadapan dengan rubah merah yang kelaparan.	Dengan gugup, dia mengintai dari sebalik rumput\ndan bersemuka dengan musang merah yang kelaparan.	رفع رأسه ببطء فوق العشب، فإذا بثعلبٍ برتقالي جائع يظهر أمامه مباشرة.
