Key	EN	RU	DE	FR	IT	PT	ES	JA	ID	MS	AR
boy.page.5	“Sorry about that!” {NAME:P1} said. “Is today the queen’s birthday?”	«Прошу прощения, ‒ сказал {NAME:P1}.\n‒ А сегодня, что, день рождения Королевы?»	„Tut mir leid!“, sagte {NAME:P1}. „Ist heute der Geburtstag der Königin?“	« Désolé ! dit {NAME:P1}.\nEst-ce que l’anniversaire de la reine est aujourd’hui ? »	«Scusa!», disse {NAME:P1}. «È oggi il compleanno della regina?»	“Ops, desculpe!”, disse {NAME:P1}. “É hoje o aniversário da rainha?”	“¡Disculpa!”, exclamó {NAME:P1}. “¿Es hoy el cumpleaños de la reina?”	「ごめんなさい⁠！」​{NAME:P1}​は​言い⁠まし⁠た。\n「今日⁠は​女王⁠様⁠の​誕生⁠日⁠な⁠の⁠？」	“Maaf!” kata {NAME:P1}. “Apakah hari ini ulang tahunnya Ratu?”	“Maaf sebab terlanggar!” {NAME:P1} berkata.\n“Adakah hari ini hari lahir permaisuri?”	”آسف!“ اعتذر {NAME:P1} ثم سأل: ”هل اليوم عيد ميلاد الملكة؟“
boy.page.6	“No, thank goodness,” replied the big ant. “Her birthday is tomorrow.\nNow scurry along. I must get this leaf to the chariot-building chamber.”	«Слава Богу, нет, ‒ ответил муравей. ‒ Её день рождения завтра.\nА сейчас посторонись-ка. Мне нужно отнести этот лист в мастерскую».	„Nein, zum Glück nicht“, erwiderte die große Ameise. „Ihr Geburtstag\nist morgen. Geh weiter. Ich muss dieses Blatt in die Baukammer bringen.“	« Non, dieu merci, répondit la grande fourmi. C’est demain. Maintenant\nécarte-toi. Je dois livrer cette feuille pour la construction des chars. »	«No, grazie al cielo», rispose l’altra formica. «È domani. Ora spostati.\nDevo portare questa foglia nella stanza dove costruiscono le carrozze».	“Não, graças a Deus”, respondeu a formigona. “O aniversário é só amanhã.\nAgora, sai fora! Preciso levar essa folha para a oficina de carruagens.”	“No, por suerte”, replicó la hormiga. “Su cumpleaños es mañana.\nApártate. Tengo que llevar esta hoja al taller de construcción de carruajes”.	「違う⁠よ」​大きな⁠アリ⁠は​言い⁠まし⁠た。​「女王⁠様⁠の​誕生⁠日⁠は​明日⁠だ⁠よ。\nさあ、​急が⁠ない⁠と。​この⁠葉っぱ⁠を​馬車⁠作り⁠の​部屋⁠に​持っ⁠て​いか⁠なく⁠ちゃ」	“Belum, untungnya,” si semut besar menjawab. “Ulang tahun beliau besok.\nSekarang lekaslah. Aku harus membawa daun ini ke ruang pembuatan kereta.”	“Syukurlah bukan,” balas si semut besar. “Hari lahirnya esok. Sekarang cepat\nbergerak. Saya mesti bawa daun ini ke bilik membuat kereta kuda.”	أجابت النملة الكبيرة: ”كلا لحسن الحظ، عيد ميلادها غدًا.\nتحرّك الآن، عليّ إيصال هذه الورقة إلى حجرة بناء العربات“.
boy.page.7	“May I help you?” asked {NAME:P1}.\n“I’m a very good helper! Is there anything I can do?”	«А можно вам помочь? ‒ спросил {NAME:P1}.\n‒ Я очень хороший помощник. Что я могу сделать?»	„Kann ich dir helfen?“, fragte {NAME:P1}.\n„Ich bin ein guter Helfer! Gibt es etwas, das ich tun kann?“	« Je peux t’aider ? demanda {NAME:P1}. Je peux être très utile !\nEst-ce que je peux faire quelque chose ? »	«Posso aiutarti?», chiese {NAME:P1}.\n«Sono un ottimo aiutante! C’è qualcosa che posso fare?»	“Posso te ajudar?”, perguntou {NAME:P1}. “Eu sou um ótimo ajudante!\nNão teria alguma coisa que eu possa fazer?”	“¿Puedo ayudarte?”, perguntó {NAME:P1}.\n“¡Soy muy buen ayudante! ¿Hay algo en lo que pueda colaborar?”	「何⁠か​お手伝い​できる​こと⁠は⁠？」​{NAME:P1}​は​聞き⁠まし⁠た。\n「お手伝い⁠が​得意⁠な​ん⁠だ⁠！⁠何⁠か​できる​こと⁠は​ある⁠？」	“Boleh kubantu?” tanya {NAME:P1}.\n“Aku biasa membantu! Ada yang bisa kulakukan?”	“Boleh saya bantu kamu?” tanya {NAME:P1}.\n“Saya pembantu yang amat bagus! Ada sesuatu yang boleh saya buat?”	سأل {NAME:P1}: ”أتسمحين لي بمساعدتكِ؟ إني أحب مساعدة\nالغير كثيرًا! أهناك أي مهمّة أستطيع إنجازها؟“
boy.page.8	“Maybe when you’re stronger,” said the ant. “We are in a hurry.”	«Может быть, когда подрастёшь, ‒ ответил муравей.\n‒ А сейчас я очень спешу».	„Vielleicht wenn du stärker bist“, sagte die Ameise. „Wir sind in Eile.“	« Peut-être quand tu seras plus fort, dit la fourmi.\nNous manquons de temps. »	«Forse quando sarai più forte», disse la formica. «Andiamo di fretta».	“Talvez quando você ficar mais forte”, respondeu a formiga.\n“A gente está com pressa.”	“Quizás cuando seas mas fuerte”,\ndijo la hormiga enorme. “Estamos apurados”.	「君⁠が​もっと⁠強く​なっ⁠たら⁠ね」\n​アリ⁠は​言い⁠まし⁠た。​「急い​でる​ん⁠だ」	“Mungkin kalau kamu sudah lebih kuat,”\nujar si semut besar. “Kami sedang buru-buru.”	“Mungkin apabila kamu lebih kuat nanti,” kata semut itu. “Kita mahu cepat.”	قالت النملة الكبيرة: ”يمكنكَ المساعدة عندما تصبح أقوى. إنني مشغولةٌ الآن“.
boy.page.9	{NAME:P1} sighed and walked toward the sound of the singing.	{NAME:P1} вздохнул и направился в сторону,\nоткуда доносилось пение.	{NAME:P1} seufzte und ging in Richtung des Gesangs.	{NAME:P1} soupira et continua son chemin\nen direction des bruits de chant.	{NAME:P1} sospirò e andò nella direzione da cui veniva il coro.	{NAME:P1} respirou fundo\ne continuou seu caminho em direção à música.	{NAME:P1} suspiró y caminó hacia donde provenían los cantos.	{NAME:P1}​は​フーッ⁠と​ため息⁠を​つい⁠て、\n歌⁠が​聞こえる​方⁠へ​歩い⁠て​いき⁠まし⁠た。	{NAME:P1} mendesah, lalu berjalan menuju suara nyanyian itu.	{NAME:P1} mengeluh dan berjalan ke arah bunyi nyanyian.	تنهّد {NAME:P1} وأكمل باتجاه مصدر الغناء.
boy.page.10	He heard a bustle in the dining chamber and peeked inside.	Он услышал шум в столовой и заглянул внутрь.	Er hörte geschäftiges Treiben aus dem Speisezimmer und lugte hinein.	Il entendit de l’agitation dans la salle à manger et jeta un œil à l’intérieur.	Sentiva un viavai provenire dal salone da pranzo e sbirciò dentro.	Ao passar pelo salão de jantar,\nele ouviu um burburinho e decidiu dar uma espiadela.	Escuchó el bullicio del comedor y se asomó.	ダイニング​ルーム⁠から​にぎやか⁠な​音⁠が\n聞こえ⁠て​き⁠た⁠ので、​中⁠を​のぞい⁠て​み⁠まし⁠た。	Dia mendengar suara ribut di ruang makan, lalu dia mengintip ke dalam.	Dia mendengar bunyi kesibukan di bilik makan dan mengintai ke dalam.	سمِع ضجيجًا يصدر من غُرفة الطعام، فاسترق النظر للداخل.
boy.page.11	Lightning bugs brightened the room\nand tall ants were hanging clover garlands for the queen’s birthday banquet.	Светлячки освещали помещение, а высокие муравьи развешивали\nгирлянды из клевера для банкета в честь Королевы.	Glühwürmchen erhellten den Raum, und große Ameisen\nhängten Girlanden aus Klee für das Geburtstagsessen der Königin auf.	Des lucioles illuminaient la salle et de grandes fourmis accrochaient\ndes guirlandes de trèfles pour le banquet d’anniversaire de la reine.	Le lucciole illuminavano la stanza e le formiche più alte stavano\nappendendo ghirlande di trifogli per il banchetto della regina.	Um grupo de vagalumes iluminava o salão e formigas bem altas penduravam\num cordão de trevos para decorar o banquete de aniversário da rainha.	Las luciérnagas iluminaban la habitación y las hormigas más altas\ncolgaban guirnaldas para el banquete en honor del cumpleaños de la reina.	ホタル⁠が​部屋⁠を​明るく​てらし、​背⁠の​高い​アリ⁠たち⁠が​女王⁠の\n誕生⁠日⁠パーティー⁠の​ため⁠に​クローバー⁠の​花輪⁠を​かざっ⁠て​い⁠まし⁠た。	Kunang-kunang menerangi ruangan itu dan semut-semut yang tinggi\nmenggantungkan karangan bunga kemangi untuk jamuan ulang tahun Ratu.	Kunang-kunang menerangi bilik dan semut\nyang tinggi menggantung kalungan klover untuk jamuan hari lahir permaisuri.	كانت اليراعات تضئنَ الغرفة بينما تعلّق النملات الطويلات\nأكاليل البرسيم تجهيزًا لمأدبة عيد ميلاد الملكة.
boy.page.12	“This looks amazing! May I help hang the garlands?”\n{NAME:P1} asked the ant tying the stems. “I’m a very good helper.”	«Выглядит восхитительно! Можно помочь вам с гирляндами?\n‒ {NAME:P1} спросил муравьиху. ‒ Я хороший помощник».	„Das sieht toll aus! Kann ich euch helfen, die Girlanden aufzuhängen?“,\nfragte {NAME:P1} die Ameise. „Ich bin ein guter Helfer.“	« C’est magnifique ! dit {NAME:P1}.\nJe peux aider à accrocher les guirlandes ? Je peux être très utile ! »	«Che meraviglia! Posso aiutare ad appendere le ghirlande?», chiese\n{NAME:P1} alla formica che legava gli steli. «Sono un ottimo aiutante».	“Isso está ficando incrível! Posso ajudar a pendurar os trevos?”, perguntou\no {NAME:P1} a uma das formigas. “Eu sou um ótimo ajudante.”	“¡Esto es fantástico! ¿Puedo ayudar a colgar las guirnaldas?”, preguntó\n{NAME:P1} a la hormiga mas cercana. “Soy muy buen ayudante”.	「すごい⁠！⁠花輪⁠を​つるす​の⁠を​手伝っ⁠て⁠も​いい⁠？」​{NAME:P1}​は、\nくき⁠を​結ん⁠で​いる​アリ⁠に​聞き⁠まし⁠た。​「お手伝い⁠が​得意⁠な​ん⁠だ」	“Ini bagus! Boleh kubantu menggantung karangan bunga?” {NAME:P1}\nbertanya pada semut yang sedang mengikat dahan. “Aku pintar membantu.”	“Hebat sekali! Boleh saya tolong sangkut kalungan?” {NAME:P1} bertanya\nkepada semut yang mengikat tangkai. “Saya pembantu yang amat bagus.”	”ما أجملها!“ تعجّب {NAME:P1} ثم سأل النملة التي تربط السويقات معًا:\n”أتسمحن لي بتعليق الأكاليل معكنّ؟ إنّي أحب مساعدة الغير كثيرًا!“
boy.page.13	The tall ant smiled. “Thank you for wanting to help,” she said.\n“But we are very busy. Maybe when you are taller.”	Муравьиха улыбнулась. «Молодец, что хочешь помочь, ‒ сказала она,\n‒ но мы сейчас слишком заняты. Может быть, когда подрастёшь».	Die große Ameise lächelte. „Danke, dass du helfen möchtest“, sagte sie.\n„Aber wir sind sehr beschäftigt. Vielleicht wenn du größer bist.“	La grande fourmi sourit. « Merci de proposer ton aide, dit-elle.\nMais nous sommes très occupées. Peut-être quand tu seras plus grand. »	La formica sorrise. «Grazie per l’offerta», disse.\n«Ma siamo molto occupati. Forse quando sarai più alto».	A formiga alta sorriu. “Obrigada por oferecer ajuda”, ela disse.\n“Mas a gente está muito ocupada. Talvez quando você ficar mais alto.”	La espigada hormiga sonrió. “Gracias por la voluntad de ayudar”, contestó.\n“Pero ahora estamos ocupadas. Quizás cuando seas más alto”.	背⁠の​高い​アリ⁠は​ニッコリ⁠し⁠て、​言い⁠まし⁠た。​「そう⁠言っ⁠て​くれ⁠て​ありが\nとう。​でも⁠私⁠たち⁠は​とても⁠忙しい⁠の。​もっと⁠背⁠が​伸び⁠たら​手伝っ⁠て⁠ね」	Semut yang tinggi tersenyum. “Terima kasih sudah ingin membantu,” ujarnya.\n“Tapi kami sangat sibuk. Mungkin nanti kalau kamu sudah lebih tinggi.”	Semut tinggi tersenyum. “Terima kasih kerana mahu membantu,” katanya.\n“Tapi kami sangat sibuk. Mungkin apabila kamu lebih tinggi nanti.”	ابتسمت النملة الطويلة وقالت: ”شكرًا لأنّكَ تريد المساعدة،\nلكننا مشغولات جدًا الآن. يمكنكَ مساعدتنا عندما تصبح أطول“.
boy.page.14	{NAME:P1} sighed again and walked toward the music chamber.\n“There must be something I can do to help!”	{NAME:P1} снова вздохнул и направился к музыкальному залу.\n«Но ведь есть же что-то, с чем я могу помочь!»	{NAME:P1} seufzte erneut und ging in Richtung des Musikzimmers.\n„Dort muss es etwas geben, bei dem ich helfen kann!“	{NAME:P1} soupira à nouveau et reprit son chemin vers la salle\nde musique. « Il doit bien y avoir quelque chose que je puisse faire ! »	{NAME:P1} sospirò di nuovo e andò verso la stanza della musica.\n«Dev’esserci qualcosa che posso fare per dare una mano!»	{NAME:P1} respirou fundo de novo e seguiu em direção\nà sala de música. “Com certeza vou poder ajudar com alguma coisa!”	{NAME:P1} suspiró nuevamente y se dirigió hacia el salón\ndesde dónde provenía la música. “¡Debe haber algo en lo que pueda ayudar!”	{NAME:P1}​は、​また⁠フーッ⁠と​ため息⁠を​つい⁠て、​歌⁠が​聞こえる​方⁠へ\n歩い⁠て​いき⁠まし⁠た。​「何⁠か​僕⁠に⁠も​できる​こと⁠が​ある​はず⁠！」	{NAME:P1} mendesah lagi, kemudian berjalan menuju ruang musik.\n“Pasti ada sesuatu yang bisa kubantu!”	{NAME:P1} mengeluh lagi dan berjalan ke arah bilik muzik.\n“Mesti ada sesuatu di sana yang boleh saya bantu!”	تنهّد {NAME:P1} مجدّدًا وأكمل باتجاه حجرة الموسيقى وهو يفكّر:\n”لا بدّ من وجود مهمّة أستطيع إنجازها!“
boy.page.15	When {NAME:P1} reached the music chamber, the ant choir was gone.\nThere was only the old choir director who was rolling up his music.	Войдя в музыкальный зал, {NAME:P1} обнаружил, что хора там уже нет.\nОстался только старый дирижёр, да и тот уже убирал свои ноты.	Als {NAME:P1} das Musikzimmer erreichte, war der Ameisenchor nicht da.\nNur der alte Chordleiter war dort, der seine Notenblätter weglegte.	Quand {NAME:P1} entra dans la salle de musique,\nseul s’y trouvait le vieux directeur de chorale qui rangeait ses partitions.	Quando {NAME:P1} arrivò nella stanza della musica,\nil coro non c’era più. C’era solo il vecchio direttore che arrotolava gli spartiti.	Quando {NAME:P1} chegou à sala de música, todas as formigas\ndo coro já tinham ido embora. Só restava o velho maestro e suas partituras.	Cuando llegó a la sala de música el coro de hormigas ya se había ido.\nEstaba sólo el viejo director del coro, enrollando las partituras.	{NAME:P1}​が​音楽⁠の​部屋⁠に​着く⁠と、​アリ⁠の​合唱⁠団⁠は​もう⁠い⁠ませ⁠ん⁠でし⁠た。\n楽譜⁠を​かたず⁠け⁠て​いる​年寄り⁠の​指揮⁠者⁠が​いる⁠だけ⁠でし⁠た。	Saat {NAME:P1} sampai ke ruang musik, paduan suara sudah bubar.\nHanya ada direktur paduan suara tua yang sedang menggulung notasi musiknya.	Apabila {NAME:P1} sampai ke bilik muzik, koir semut telah berlalu.\nHanya ada pengarah koir yang tua sedang menggulung not muziknya.	لمّا وصل {NAME:P1} إلى حجرة الموسيقى، كانت جوقة النمل قد رحلت.\nلم يكن هناك سوى مدير الجوقة العجوز يُلملم نوتاته الموسيقيّة.
boy.page.16	“May I please join the birthday celebration choir?” {NAME:P1} asked\nthe old ant. “I have heard the song so much I know it by heart.”	«А можно я буду участвовать в хоре на день рождения Королевы? ‒ спросил\n{NAME:P1} старого муравья. ‒ Я уже выучил эту песню наизусть».	„Kann ich bitte beim Chor mitmachen?“, fragte {NAME:P1} die alte Ameise.\n„Ich habe das Lied so oft gehört, ich kenne es auswendig.“	« Est-ce que je peux participer à la chorale ? demanda {NAME:P1}.\nJ’ai entendu la chanson tellement de fois que je la connais par cœur. »	«Posso unirmi al coro per il compleanno?», chiese {NAME:P1}\nalla vecchia formica. «Ho sentito la canzone così tanto che la so a memoria».	“Por favor, posso fazer parte no coro de celebração de aniversário?\nJá ouvi a música tantas vezes, que já sei de cor”, disse {NAME:P1}.	“¿Puedo unirme al coro para la fiesta?” preguntó {NAME:P1} a la vieja\nhormiga. “He escuchado la canción tantas veces que la sé de memoria”.	「お⁠誕生⁠日⁠を​祝う​合唱⁠団⁠に​入れ⁠て​もらえる⁠？」​{NAME:P1}​は​年寄り⁠の\nアリ⁠に​聞き⁠まし⁠た。​「何⁠度⁠も​聞い⁠て​いる⁠から、​ぜんぶ​歌える​ん⁠だ」	“Bolehkah aku ikut paduan suara perayaan ulang tahun?” {NAME:P1}\nbertanya ke semut tua. “Aku sering mendengar lagunya, jadi aku hapal.”	“Bolehkah saya menyertai koir sambutan hari lahir?” {NAME:P1} bertanya\nsemut tua. “Saya sudah sering mendengar lagu ini hingga hafal.”	سأل {NAME:P1} العجوز: ”من فضلك، هل تسمحين لي بالانضمام إلى\nجوقة عيد الميلاد؟ لقد سمعت الأغنية مرارًا وأحفظها عن ظهر قلب“.
