Key	EN	RU	DE	FR	IT	PT	ES	JA	ID	MS	AR	SV	NL	PL
boy.page.2	The problem was that in order to splash about in the water as much\nas he wished, {NAME:P1} had to take a long walk to a wide stream.	Да вот беда ‒ для того, чтобы вдоволь поплескаться,\n{NAME:P3} приходилось ходить к большому ручью.	Das Problem war, dass {NAME:P1}, um unbeschwert im Wasser\nzu planschen, einen langen Weg zu einem breiten Bach zurücklegen musste.	Le problème était que pour pouvoir barboter dans l’eau,\n{NAME:P1} devait faire une longue marche vers un grand ruisseau.	Per sguazzare in acqua quanto voleva,\n{NAME:P1} però doveva camminare molto per arrivare al ruscello.	O problema era que, para brincar na água o quanto ele quisesse,\no {NAME:P1} precisava fazer uma longa caminhada até um rio mais largo.	El problema era que para chapotear en el agua todas las veces que quisiese,\n{NAME:P1} tenía que recorrer un largo camino hasta el arroyo.	問題⁠は、​思いっきり⁠水しぶき⁠を​上げる​ため⁠に⁠は、\n遠く⁠に​ある​広い​川⁠まで​歩か⁠なけれ⁠ば​なら⁠ない​こと⁠でし⁠た。	Masalahnya adalah untuk bisa bermain air sepuasnya,\n{NAME:P1} harus berjalan jauh menuju sungai yang lebar.	Masalahnya, jika dia ingin meranduk dalam air selama mana yang diinginkan,\n{NAME:P1} perlu berjalan jauh ke sungai besar.	المشكلة أن {NAME:P1} كان مجبرًا على المشي مسافة طويلة\nإلى الجدول الواسع كي يتقلّب ويمرح في الماء كما يشاء.	Problemet var att för att kunna plaska runt i vattnet så mycket han ville,\nbehövde {NAME:P1} gå en lång promenad till en bred ström.	Het enige probleem is dat {NAME:P1} een heel eind naar de rivier\nmoet lopen, als hij lekker wil spetteren in het water.	Problem w tym, że żeby pluskać się w wodzie tak długo, jak miał ochotę,\n{NAME:P1} musiał przejść długą drogę do szerokiego potoku.
boy.page.3	{NAME:P1} dreamed about having his own swimming pool\nnear his house. And then he thought, “Why not make it myself?”	{NAME:P1} мечтал о том, чтобы у его дома был свой собственный\nбассейн, и однажды он подумал: «А почему бы мне не сделать его самому?»	{NAME:P1} träumte davon, sein eigenes Schwimmbecken neben seinem\nHaus zu haben. Und dann dachte er: „Wieso baue ich nicht einfach eines?“	{NAME:P1} rêvait d’avoir sa propre piscine près de sa maison.\nIl se dit donc : « Pourquoi ne pas la construire moi-même ? »	{NAME:P1} sognava di avere una piscina vicino a casa.\nE tutt’a un tratto pensò: «Perché non me la faccio da solo?»	O sonho do {NAME:P1} era ter sua própria piscina perto de casa.\nEntão, ele pensou: “por que eu mesmo não faço uma?”	{NAME:P1} imaginó tener su propia piscina, cerca de su casa.\nY luego caviló, “¿por qué no hacerla yo mismo?”	{NAME:P1}​は、​家⁠の​近く⁠に​自分⁠の​プール⁠を​持つ​こと⁠が​夢⁠でし⁠た。\n「そう⁠だ、​自分⁠で​作れ⁠ば​いい​ん⁠だ」​{NAME:P1}​は​そう⁠思い⁠まし⁠た。	{NAME:P1} bermimpi punya kolam renang sendiri di dekat rumahnya.\nDan kemudian dia berpikir, “Kenapa tidak membuatnya sendiri?”	{NAME:P1} berangan-angan untuk memiliki kolam renangnya sendiri\nberdekatan rumah. Kemudian dia terfikir, “Kenapa tidak buat sendiri saja?”	كان حلم {NAME:P1} أن يمتلك مسبحًا خاصًّا قرب منزله.\nفتساءلَ يومًا: ”لمَ لا أصنع المسبح بنفسي؟“	{NAME:P1} drömde om att ha en egen pool nära sitt hus.\nOch sedan tänkte han, ”Varför bygger jag den inte själv?”	{NAME:P1} droomt ervan om zijn eigen zwembad te hebben,\nvlak naast zijn huis. “Dat kan ik zelf wel maken, toch?” denkt hij hardop.	{NAME:P1} marzył o własnym basenie przy domu. A potem pomyślał:\n„A czemu by nie zrobić go samemu?”.
boy.page.4	So he got right to it! {NAME:P1} dug a hole in the ground,\njust big enough for a raccoon. Then all he needed was to fill it with water.	Сказано-сделано! {NAME:P1} выкопал небольшую яму в земле\n‒ как раз, чтобы одному еноту хватило места. Осталось заполнить её водой.	Gesagt, getan! {NAME:P1} grub ein Loch in den Boden, gerade groß\ngenug für einen Waschbären. Dann musste er es nur noch mit Wasser füllen.	Aussitôt dit, aussitôt fait ! {NAME:P1} creusa un trou dans le sol,\njuste assez grand pour lui. Il ne manquait plus que l’eau.	Detto fatto! {NAME:P1} scavò una buca,\ngrande abbastanza per un procione. E poi bastava solo riempirla d’acqua.	Dito e feito! {NAME:P1} cavou um buraco na terra do tamanho perfeito\npara um guaxinim! Agora, só faltava encher de água.	¡Dicho y hecho! {NAME:P1} excavó un hueco en la tierra,\ndel tamaño justo para un mapache. Lo único que faltaba era llenarlo de agua.	すぐ⁠に​作り​はじめ⁠まし⁠た⁠！​{NAME:P1}​は​地面⁠に​アライグマ⁠が\n入れる⁠くらい⁠の​大き⁠さ⁠の​穴⁠を​掘り⁠まし⁠た。​あと⁠は​水⁠を​入れる⁠だけ⁠です。	Jadi dia segera bertindak! {NAME:P1} menggali lubang di tanah\nyang cukup besar untuk seekor rakun. Lalu dia tinggal mengisinya dengan air.	Maka dia pun terus membuatnya! {NAME:P1} menggali lubang di tanah,\nsesuai untuk rakun. Selepas itu dia perlu mengisinya dengan air sahaja.	وبالفعل، بدأ بتنفيذ الخطّة! حفر {NAME:P1} حفرة في\nالأرض بحجم راكون. ما عليه الآن سوى ملئ الحفرة بالماء.	Så han tog tag i saken! {NAME:P1} grävde ett hål,\nprecis stort nog för en tvättbjörn. Nu var det bara att fylla det med vatten.	Hij gaat direct aan de slag! {NAME:P1} graaft een gat, precies groot\ngenoeg voor een wasbeer. Nu moet hij het alleen nog vullen met water.	Zabrał się od razu! {NAME:P1} wykopał w ziemi dół, w sam raz na szopa.\nWystarczyło tylko napełnić go wodą.
boy.page.5	{NAME:P1} grabbed a bucket and ran all the way to the stream.	{NAME:P1} взял ведро и побежал к ручью.	{NAME:P1} schnappte sich einen Eimer\nund rannte den ganzen Weg zum Bach.	{NAME:P1} saisit un seau et courut à toute vitesse vers le ruisseau.	{NAME:P1} prese un secchio e corse al ruscello.	{NAME:P1} pegou um balde e foi correndo até o rio.	{NAME:P1} agarró un balde y corrió hasta el arroyo.	{NAME:P1}​は​バケツ⁠を\n持っ⁠て​川⁠まで​走り⁠まし⁠た。	{NAME:P1} menyambar ember dan berlari menuju ke sungai.	{NAME:P1} menyambar baldi dan berlari sepanjang jalan ke sungai.	حَمل {NAME:P1} دلوًا وراح يركض إلى الجدول.	{NAME:P1} tog tag i en hink och sprang hela vägen till strömmen.	{NAME:P1} pakt een emmer en rent de hele weg naar de rivier.	{NAME:P1} chwycił wiadro i pobiegł aż do potoku.
boy.page.6	After running back and forth a few times,\nthe raccoon realized that his swimming hole was far from being filled.	Сбегав несколько раз туда-обратно,\nенот понял, что его яма почти не наполнилась водой.	Nachdem er ein paar Mal hin und her gelaufen war,\nmerkte der Waschbär, dass sein Becken noch lange nicht aufgefüllt war.	Après quelques allers-retours, le raton laveur réalisa\nque son coin d’eau était loin d’être rempli.	Dopo essere corso avanti e indietro varie volte,\nil procione si accorse che mancava ancora tanto per riempire la buca d’acqua.	Depois de ir e voltar algumas vezes,\no guaxinim percebeu que sua piscina ainda estava bem longe de ficar cheia.	Luego de correr de arriba para abajo varias veces, el mapache se percató\nde que a su piscina le faltaba mucho aún para llenarse.	何⁠回⁠か​行っ⁠たり​来⁠たり​し⁠て​いる​うち⁠に、​{NAME:P1}​は​泳ぐ​穴⁠を\n水⁠で​いっぱい⁠に​する⁠に⁠は、​まだまだ⁠足り⁠ない​こと⁠に​気づき⁠まし⁠た。	Setelah berlari bolak-balik beberapa kali,\nsang rakun menyadari bahwa lubang renangnya belum juga terisi air.	Selepas berlari pergi balik beberapa kali,\nrakun sedar bahawa paluh renangnya jauh sekali daripada penuh.	بعد السعي مرارًا بين الجدول وحفرة السباحة،\nأدرك الراكون أن الحفرة لم تمتلأ ولو قليلاً.	Efter att ha sprungit fram och tillbaka några gånger insåg\ntvättbjörnen att hålet fortfarande var långt ifrån fullt.	Na een paar keer heen en weer rennen beseft\nhij dat zijn zwembad nog lang niet vol is.	Po kilku biegach tam i z powrotem szop zorientował się,\nże jego basen ma jeszcze daleko do pełna.
boy.page.7	What to do? Suddenly, a new idea came to {NAME:P1}!	Что делать? И тут {NAME:P3} пришла в голову идея!	Was sollte er tun? Plötzlich kam {NAME:P1} eine neue Idee!	Que faire ? Soudain, {NAME:P1} eut une nouvelle idée !	Che cosa fare? Imporvvisamente a {NAME:P1} venne un’idea!	E agora? De repente, o {NAME:P1} teve uma outra ideia!	¿Qué hacer? ¡De repente, {NAME:P1} tuvo una idea!	どう⁠し⁠たら​いい⁠？⁠その⁠とき、\n​ある⁠アイデア⁠が​ひらめき⁠まし⁠た⁠！	Harus bagaimana? Tiba-tiba, muncul ide baru di kepala {NAME:P1}!	Apa yang perlu dibuat? Tiba-tiba, idea\nbaharu muncul dalam fikiran {NAME:P1}!	راح {NAME:P1} يفكّر في حلّ. وفجأةً، خطر على باله فكرة جديدة!	Vad skulle han göra? Plötsligt kom {NAME:P1} på något!	Wat moet hij nou doen? Opeens heeft {NAME:P1} een nieuw plan!	Co zrobić? Nagle {NAME:P1} wpadł na nowy pomysł!
boy.page.8	He dug a deep ditch from the stream all the way back to his pool.	Он выкопал глубокую канавку прямо от ручья до своего бассейна.	Er grub einen tiefen Graben vom Fluss bis zu seinem Becken.	Il creusa une tranchée allant du ruisseau jusqu’à sa piscine.	Scavò un fossato che andava dal ruscello fino alla sua piscina.	Ele cavou uma valeta bem funda,\ncomeçando lá no rio e chegando até sua piscina.	Cavó una profunda zanja desde el arroyo hasta su piscina.	{NAME:P1}​は​川⁠から​プール⁠まで\n深い​みぞ⁠を​掘り⁠まし⁠た。	Dia menggali parit yang dalam dari sungai sampai ke kolamnya.	Dia menggali parit yang dalam dari sungai hingga sampai ke kolamnya.	حفر خندقًا عميقًا وطويلاً يصل مسبحه بالجدول.	Han grävde ett djupt dike från strömmen hela vägen tillbaka till sin pool.	Hij graaft een diepe geul van de rivier helemaal naar zijn zwembad.	Wykopał głęboki rów od potoku aż do swojego basenu.
boy.page.9	Bingo! The pool was filled with water in a minute!	И, о радость, он очень быстро наполнился!	Volltreffer! Der Pool war innerhalb einer Minute mit Wasser gefüllt!	Bingo ! La piscine était remplie d’eau en une minute !	Bingo! La piscina si riempì d’acqua in un momento!	Bingo! A piscina ficou cheia num minuto!	¡Albricias! ¡La piscina se llenó de agua en un abrir y cerrar de ojos!	やっ⁠た​ー⁠！⁠プール⁠は​あっという間に⁠水⁠で\nいっぱい⁠に​なり⁠まし⁠た⁠！	Hore! Kolam itu pun seketika sudah terisi air!	Bingo! Sekejap sahaja kolam itu dipenuhi air!	يا سلام! امتلأ المسبح بدقيقة واحدة!	Bingo! Poolen var fylld med vatten inom en minut.	Bingo! Het zwembad is binnen een paar minuten gevuld met water.	Bingo! Basen napełnił się wodą w minutę!
boy.page.10	Happy with his good ideas, {NAME:P1} could now swim\nas much as he wanted. A few days passed like that.	Довольный жизнью, {NAME:P1} теперь мог купаться\nстолько раз в день, сколько ему хотелось. Так пролетело несколько дней.	{NAME:P1} freute sich über seine gute Idee. Jetzt konnte er\nso viel schwimmen, wie er wollte. So vergingen ein paar Tage.	Content de son idée, {NAME:P1} pouvait maintenant nager autant\nqu’il le souhaitait. Quelques jours passèrent.	Felice della sua idea, {NAME:P1} ora poteva\nnuotare quanto voleva. Così passò qualche giorno.	Feliz com suas boas ideias, agora o {NAME:P1} poderia nadar\no quanto ele quisesse. E assim ele fez por vários dias seguidos.	Regocijándose por sus buenas ideas, ahora {NAME:P1}\nnadaba todo lo que quería. Y así pasaron varios días.	{NAME:P1}​は​自分⁠の​すばらしい​アイデア⁠に​よろこび⁠まし⁠た。​そして、\n好き⁠な⁠だけ​泳げる​よう⁠に​なり⁠まし⁠た。​そうして⁠何⁠日⁠か⁠が​過ぎ⁠まし⁠た。	Karena senang dengan idenya yang bagus, {NAME:P1} sekarang\nbisa berenang sepuasnya. Beberapa hari berjalan seperti itu.	Gembira dengan ideanya yang baik, {NAME:P1} kini dapat berenang\nselama mana yang dia mahu. Demikianlah beberapa hari berlalu.	كان {NAME:P1} سعيدًا بأفكاره السديدة،\nفالآن يمكنه السباحة قدر ما يشاء. مرّت بضعة أيام على هذا الحال.	Nöjd med sin idé kunde {NAME:P1} nu simma så mycket\nhan ville, och det gjorde han i några dagar.	Tevreden met zijn goede idee zwemt\nen spettert {NAME:P1} dagenlang in zijn eigen zwembad.	Zadowolony z pomysłu, {NAME:P1} mógł teraz pływać,\nile tylko chciał. Tak minęło kilka dni.
boy.page.11	{NAME:P1} continued to rejoice in his great idea\nwhile keeping cool in his swimming hole.	{NAME:P1} не мог нарадоваться своей замечательной идее.	{NAME:P1} hatte weiter seine Freude\nund konnte sich in seinem Schwimmloch abkühlen.	{NAME:P1} continuait de se réjouir\nde sa grande idée tout en se rafraichissant dans sa piscine.	{NAME:P1} continuò a godersi la sua idea al fresco nella piscina.	{NAME:P1} continuou se refrescando na piscina por vários dias,\ntodo alegre e satisfeito com sua brilhante ideia.	{NAME:P1} continuaba solazándose\ncon su gran idea mientras se refrescaba en su piscina.	{NAME:P1}​は、​自分⁠の​すばらしい​アイデア⁠に\nよろこび⁠ながら、​プール⁠で​体⁠を​冷やし⁠て​い⁠まし⁠た。	{NAME:P1} terus gembira dengan idenya yang bagus sambil tetap\nmenjaga suhu tubuhnya agar tetap dingin di lubang renangnya.	{NAME:P1} terus bergembira dengan idea hebatnya\nsambil menyejukkan diri dalam paluh renangnya.	ظلّ {NAME:P1} يسبح في حفرته مستمتعًا بالماء البارد وفخورًا بفكرتهِ العبقرية.	{NAME:P1} fortsatte att glädjas åt sin goda idé\nmedan han svalkade sig i badhålet.	{NAME:P1} geniet enorm van het koele water.	{NAME:P1} wciąż cieszył się swoim świetnym\npomysłem i chłodził się w basenie.
boy.page.12	But soon his neighbor, the porcupine\nwho lived down the stream, came to his house.	Но вдруг к его дому пришёл сосед-дикобраз. Он жил дальше по ручью.	Aber bald tauchte sein Nachbar, das Stachelschwein,\ndas flussabwärts wohnte, an seinem Haus auf.	Mais bientôt son voisin le porc-épic,\nqui vivait en dessous du ruisseau, lui rendit visite.	Ma presto il suo vicino, il porcospino\nche viveva lungo il ruscello, venne a fargli visita.	Até que seu vizinho, um porco-espinho\nque morava mais abaixo do rio, apareceu na sua casa.	Pero, de repente, vino a visitarle su vecino el puercoespín, que vivía río abajo.	すると、​川⁠の​下⁠の​ほう⁠に​住む​ヤマアラシ⁠が\n{NAME:P1}​の​家⁠に​やって来⁠まし⁠た。	Namun tak lama kemudian tetangganya, si landak,\nyang tinggal di hilir sungai, mendatangi rumahnya.	Namun tidak lama kemudian jirannya,\nlandak yang tinggal di hilir sungai, datang ke rumahnya.	لكن لم يطل الوقت حتى أتى جاره القنفذ الذي يسكن على ضفة الجدول.	Men snart kom hans granne, piggsvinet som bodde nedströms, till hans hus.	Maar al snel komt het stekelvarken,\nzijn buurman die vlak naast de rivier woont, naar zijn huis.	Wkrótce jednak przyszedł do niego sąsiad,\njeżozwierz mieszkający w dole rzeki.
boy.page.13	“Oh, that’s who has taken all the water for himself!”\nthe porcupine gasped. “What have you done, {NAME:P1}?”	«Ах, вот кто всю воду себе забрал! ‒ ахнул дикобраз.\n‒ {NAME:P1}, что ж ты наделал?»	„Oh, du hast also das ganze Wasser für dich genommen!“\nsagte das Stachelschwein schockiert. „Was hast du getan, {NAME:P1}?“	« Oh, voilà celui qui prend toute l’eau pour lui !\ns’exclama le porc-épic. Qu’as-tu fait, {NAME:P1} ? »	«Oh, ecco chi si è preso tutta l’acqua!»,\nsussultò il porcospino. «Cos’hai fatto, {NAME:P1}?»	“Ah, então foi você que pegou toda a água para usar sozinho!”,\ndisse o porco-espinho furioso. “O que foi que você fez, {NAME:P1}?”	“¡Oh, aquí está el que se ha adueñado de toda el agua para sí solo!”,\nespetó el puercoespín. “¿Qué es lo que has hecho, {NAME:P1}?”	「ああ、​君⁠が​水⁠を​すべて​とっ⁠た​ん⁠だ⁠な⁠！」​ヤマアラシ⁠は​おどろき​なが\nら​言い⁠まし⁠た。​「なんて​こと⁠を​し⁠た​ん⁠だ、​{NAME:P1}」	“Oh, itu dia yang mengambil semua air untuk dirinya sendiri!”\nlandak itu terengah-engah. “Apa yang sudah kamu lakukan, {NAME:P1}?”	“Oh, inilah orang yang mengambil semua air sungai untuk dirinya sendiri!”\nlandak menahan nafas. “Apa yang telah kamu buat, {NAME:P1}?”	شهق القنفذ قائلاً: ”أنتَ إذن من استولى على ماء الجدول كلّه!\nأوّاه ما اقترفت يداكَ يا {NAME:P1}!“	”Så det är han som har tagit allt vatten för sig själv!”\nflämtade piggsvinet. ”Vad har du gjort, {NAME:P1}?”	“Aha, dus jij steelt al ons water!” roept het stekelvarken uit.\n“Wat heb je gedaan {NAME:P1}?”	– A więc to ty zabrałeś całą wodę dla siebie!\n– sapnął jeżozwierz. – Co ty narobiłeś, {NAME:P7}?
boy.page.14	The raccoon did not understand. He thought that his neighbor\nalso wanted to swim and kindly invited him to join.	«А что?» ‒ не понял енот. Он подумал, что сосед тоже\nхочет искупаться, и любезно пригласил его присоединиться.	Der Waschbär verstand nicht. Er dachte, dass sein Nachbar\nauch schwimmen wollte, und lud ihn freundlich dazu ein.	Le raton laveur ne comprenait pas. Il pensait que son voisin\nvoulait nager lui-aussi et il l’invita poliment à le rejoindre.	Il procione non capiva. Pensò che anche il suo vicino\naveva voglia di nuotare e lo invitò a unirsi a lui.	O guaxinim não entendeu nada. Ele achou que seu vizinho\ntambém queria nadar e convidou o porco-espinho para se divertir com ele.	El mapache estaba desconcertado. Pensó que su vecino\ntambién quería nadar y, amablemente, lo invitó a la piscina.	{NAME:P1}​に⁠は​よく⁠わかり⁠ませ⁠ん⁠でし⁠た。​{NAME:P1}​は​ヤマアラシ⁠も\n泳ぎ⁠たかっ⁠た​の⁠だ⁠と​思い、​いっしょ⁠に​泳ご⁠う⁠と​やさしく​言い⁠まし⁠た。	Si rakun tidak mengerti. Dia mengira tetangganya juga ingin berenang,\njadi dengan baik hati dia mengajak si landak untuk ikut berenang.	Si rakun tidak faham. Dia fikir jirannya juga mahu berenang\ndan menjemputnya untuk turut serta.	لم يفهم الراكون قصده. ظنّ أن جاره يريد السباحة أيضًا، فدعاه بلطف إلى المسبح.	Tvättbjörnen förstod ingenting. Han trodde att hans\ngranne också ville bada och bjöd snällt in honom.	De wasbeer snapt er niks van. Hij denkt dat zijn buurman\nook wil zwemmen en nodigt hem uit in het zwembad.	Szop nie rozumiał. Pomyślał, że sąsiad\nteż chce popływać i uprzejmie go zaprosił.
